Category,Number,Title,Body
God,13,Allah has created beauty,"Allah has created beauty,
Out of the dull, drab boring dust He has created a thousand colors of leaves, of flowers, of birds, of beast
Out of the one He has created the many
Out of death he has created a life.
The mighty tree contained in a seed,
The free spirit entrapped in a mass of matter
Will the mass matter drag the spirit down,
or will the spirit raise it to itself,
will the seed burst forth into a tree,
or will it decay into the mud it came from?
Then Allah sent sends his prophet to show the way, The way to life, far removed from the death
The death of -------,
The death of imprisonment,
The death of ignorance,
The death of disbelief,
He says follow me, I will lead you to eternal life, complete freedom, knowledge and belief.
He says, Why is the earth?
Why is the sky, the stars the sun? Why is the beauty and the dross? Why is Man, why are you?
He says, follow Me and I will answer your Why,
I will also answer your why for and wherein.
He says, why is beauty and ugly?
Why is pure and impure?
Why is good and evil?
Why is contentment and frustration?
Why is abundance and starvation? For all there is an answer,
Allah is all knowing and capable"
God,14,Allah Created a magnificent man,"Allah Created a magnificent man,
Gave him a sublime soul,
Gave him an unsurpassed strength,
Gave him a marvelous mind
But …
Man is clever but also cruel
Man is kind but also a killer Man is wise but also a vagrant Allah is all knowing and seeing
Even to the deepest recess of the human heart And judgement lies beyond the grave
In secret it may be lethal"
God,15,Allah created the cosmos,"Allah created the cosmos
Why, where, when, how, Allah knows,
The farthest heavens, the closest hells,
Allah created the earth,
In all its grandeur & minutiae,
From the first man,
To generations,
Then He created the Holy Five, Mohammed, Ali, Fatema, Hasan, Husain.
Subhan Allah, Subhan Allah, Subhan Allah."
God,16,Mercy: A Sonnet,"He calls, and a whole heaven of mercy illumined within himself  answers Yea
To liberate a people, joyful, suffering, pathetic, gay To men monotonous, dearydreary, or sun-drenched Is there a grain of sand left unquenched?
and the heaven of hosts answers nay
It is for those who humbly pray,
As for souls desolate wasteful, wretched
The universe is His and bounty His to provegive Peace, blooms and calamity is restrained because of him The purpose of creation would be annihilation,
if he did not leavelive
Light would be darkness dim,
If, in him, mercy did not find personification"
God,17,Allah has created life through me,"Allah has created life through me,
Through love, through intimacy He has created, The small child so helpless, so helpless, No will, no volition,
no strength, no reason
But in him is the seed of man,
The seed of mind, intellect,
The seed of emotion, passion,
The seed of Good, evil,
A being becoming brilliance,
A trickle, a torrent
Man can fly higher than the birds
He can dive deeper than the fishes
He can scale the highest mountain
He can touch the moon
With the power of his mind
The strength of his intellect
The will of his soul."
God,18,"Accidents, my friend?","Accidents, my friend?
Accidents never happen
Allah wills all, plans all, ordains all, sustains all A small raindrop falls
For it should,
It would not, if it should not.
A snowflake flutters to the ground
For it should
An ant is trampled by unknowing feet, An ant is not trampled,
A pebble falls into the streams,
He knows,
A leaf flutters to the grounds,
He knows,
A man thinks, feels, He knows,
This gift of a child is for you, this child for you He knows"
God,19,By the spinning of the heavens,"By the spinning of the heavens
Was a baby born,
By the light of the stars was a baby born,
By the wafting of the winds was a baby born, By the abundance of water was a baby born,
By the prodigality of the earth was a baby born, Man and women
You are the resiliently recipients of Allah’s bounty, blessing, You have been given the essence,
Of the sun, stars, heaven, and earth
You have created, nay Allah has created
A gift for you of a baby child"
God,20,Be willing to grasp my failing hand,"Be willing to grasp my failing hand
Let me not drown in the mud of mindlessness, thinking nothing but food, dress and the like Inspire me, O Allah
O Allah, inspire me to write to write to write
Inspire me to lose myself in thoughts of you,
So that worldly occasion affects surface staystrings albeit painful but passing
What remains always forever is thoughts of you, O Allah Compelling me to put this on paper
For them is the balm, therein is the medicine
Therein is the cure, therein is the health.
If you give me this, all else is unimportant
If you give me this, all pain is painless
If you give me this, all hopelessness becomes hope There are vistas and horizons in front far-out everywhere Fresh winds flowing blowing in no limits,
The heart bursting with thought,
The mind drowned in emotions
Enjoying every moment of life
Exhilarating in its beauty and miracle You are the giver of life Give me the vision of hope
Coloring nature with rosy hues
Changing the gloom into piercing rays of expectation Do I ask too much, is it too much to demand,
I know I have sinned,
I am drowned in sin,
Sinned so, I have not the right to raise my head nor ask you But you have given me life,
Now I ask you to give me your gift of khidmat
Without which life is meaningless, dark, sad, without joy Let me not meet the end with no credit, only tears
Let me not meet the end with no service performed, only vacuum
Allah is all knowing, just, merciful, and omnipotent O Allah, temper justice with mercy
Forgive me my sins, overlook my faults
My ignorance is over whelming,
My knowledge puny,
O Allah, You who are omnipotent and merciful
Give me knowledge that I may recognize
Give me will, to act accordingly
Give me faith, to love unfailingly
Give me a heart, that beats the buffeting of storms Which would seemingly burst,
How does it survive, how does it pass through
It is a miracle or yet another punishment."
God,21,"It rains, it drizzles, it thunders, it strikes It rains, it drizzles, it thunders, it strikes,","All in all
It nurtures, it floods, it destroys
All in all
It is justice from Allah."
God,22,"One tree went, another came","One tree went, another came. When the second tree withered the third tree, when it has exhausted its age, the fourth tree bloomed to give the sweet fragrance of remembrance of the third. When the fourth tree was passing away the fifth was ready to take its place. When the fifth was ready to go, now the time had come for the blossoming of the sixth tree. Time passed and the sixth tree blossomed.
Every tree in blossoming was following the divine order and passed away only after evolution of time. It did not eternally subsist but its fragrance was ever present. The young blossoming tree served as a remembrance of the one that had passed away.
Unique are the trees, and unique their tales, passing through centuries. Who do we ask about them? Where do we search for their secret? Perhaps on some far distant shore, we shall meet someone ---? Or on the lonely heights of some mountain.
Or is it not somebody hiding his secret in some deserted garden of palm far from the crowded city.
Whom shall we ask? Who will explain? Six trees and they centuries old? Afterall how vast is this earth and where can the secret lie?
Dear friend, do not wander afar, search for the secret in the recesses of your soul. After searching the answer from my heart again and again, I have received only one answer – surely you will discover these trees.
Are you surprised --- How is that? The heart knows that every tree is unique and when it had passed away, another tree bloomed to take its place, not only making its own the particular virtues of the deceasing plant but adding the personal quality of its own to achieve more uniqueness.
You will protest that surely, we know this, but do have patience – why do we not ask the sixth tree? How? Are you surprised!
My dear, the sixth tree has come to life after the fifth has passed away. Yes yes I see there is joy dancing in the light of your eyes. I thought that you were satisfied with the idea that the sixth tree is with us, and it can unfold the mysteries of its predecessors – let us go to it,
Wait a moment, I think that in spite of believing that the sixth tree exists, we do not know where to find it.
Think deep with complete faith in God, we will meet tomorrow."
God,23,I am grateful to Allah,"I am grateful to Allah,
For the countless bounties showered on me, And I pray in prostration,
To thus bless me, till the end of my days For in the thanksgiving is the receiving."
Mohammad Rasulullah,1,"“In the name of Allah, read”","“In the name of Allah, read!”
Why would Allah ask an unlettered Mohammed “to readrecite”? For Mohammed could read the why and wherefore of the farthest sky, The why and wherefore of the sun, moon, and stars.
The why and wherefore of the human soul
He knew the secrets of the deepest ocean,
He knew the loftiness of the highest mountain,
What had gone before him,
And what was to come- even till the last day.
And the Quran says, “There is no wet nor dry thing, but it is in the Quran. That Quran is Mohammed."
Mohammad Rasulullah,2,Rejoice! Rejoice!,"Rejoice! Rejoice!
Be happy and gay
We will leave this mud and quagmirea and achieve salvation and with our ziresire. and immunity from hell and hellfire
Rejoice! Rejoice! O Mumineen
For Mohammed is our saviour from pain
And Ali, Fatema, Hasan, and Husain
With barakaat falling on us like showers of rain"
Mohammad Rasulullah,3,It is the twelfth night of the month of Rabi the first,"It is the twelfth night of the month of Rabi the first The moon is shining, the stars are twinkling,
The silence is completed
God’s good creation is awaiting
The sphere, the stones, the dust
The butterflies, the birds
The fish, the foam
The forests, the flower
Awaiting, awaiting
The birth of a godly child
A child pure and perfect
A child graceful and good
A child beautiful
A child who always was and always will be
A child Mohammed, Mehmood.
In the barren sands of Batha
In the holy precinct of the Kaaba
In the house of Abdullah and Aamenah
Rejoice! Rejoice!
Be happy and gay
Give thanks to Allah in prostration and pray
With reverence in your heart and say,
La Ilaha Illal Allah, Mohammadun Rasulullah, Aliyyun Waliullah."
Mohammad Rasulullah,4,Who is the perfect man?,"Who is the perfect man?
One who is fair of face,
One who is pure of heart,
One who is trustworthy, al-Amin,
One who is generous,
And finally,
Who is choose chosen by Allah,
Mohammed, the unlettered,
Who read the message of Islam,
Who read the magnificent Quran,
Who dispelled ignorance with wisdom, Who prophesied the Day of Judgement to come. Who made lowly man capable of reaching heaven, He is the perfect man."
Mohammad Rasulullah,5,O Allah!,"O Allah
Who cares for His creation,
Why did You abandon Your Prophet
when he conveyed your message of Peace and Islam?
He was laughed at, he was ridiculed, he was desecrated, he was tortured.
And He replies,
We sent him Khadija,
To serve him, solace him,
To calm him, comfort him,
To share his pain with him,
So, after the tribulations of the Meccans,
He came to Khadija
He was home."
Mohammad Rasulullah,6,"Gibrael comes to Mohammed Gibrael comes to Mohammed,","With a message from Allah,
He transmits this message,
He lifts all out of ignorance,
He unites all under the banner of Islam, He builds a just society,
He takes mankind on the road to heaven, He does all this,
And what does he ask in return, Be good to my family,
Well, the history of Mohammed’s family, Is written in revenge, blood and agony."
Amirul Mumineen,1,"If calamity were to fall on the tallest mountain,","If calamity were to fall on the tallest mountain, As they fell on you, O Mola Ali,
It would shatter to dust.
If floods filled and drowned the earth
As it suffocated you, O Mola Ali,
It would destroy the green and the living.
If earthquakes rent the earth,
As they tore your life, O Mola Ali,
The earth as we know it would be a gaping hole.
But my Mola, you are taller than the mountain, Purer than the water,
Stronger than the Earthquake."
Amirul Mumineen,2,In the inner precinct of the Kaabah,"In the inner precincts of the Kaabah
A child is born,
His name is Ali,
The first to be taken in Mohammed’s arms is the child Ali, The one nurtured in Mohammed’s house is the young Ali The first to accept Islam is the youth Ali
In Hijra to sleep in Mohammed’s bed is Ali,
In Badr the shield of Mohammed is Ali,
In Ohod the companion of Mohammed is Ali, In Khandaq, Khaybar, the Lion of God is Ali,
The spouse of Fatema is Ali
The father of Hasan and Husain is Ali
In Ghadeer the successor of Mohammed is Ali, After Mohammed death, the one who buries him is Ali In the heavens there is Ali
In the North, South, East, West, there is Ali
At the Lake of Kausar there is Ali
With hands raised in supplication, I ask
Give me a sip of that pure water, Yaa Ali"
Amirul Mumineen,3,O Mola Ali,"O Mola Ali
You are the blaze of the sun, You are the coolness of the moon, You are the sparkle of the stars, You are the rotation of the spheres, You are life giving rain,
You are the sweetness in the honey You are the fragrance in the rose, You are my all,
But the ecstasy is in the reach."
Amirul Mumineen,4,Come one and all,"Come one and all
Come to the door of Ali, man, womenwoman, child, All of humanity,
Unburden your hearts,
Shed your illnesses,
Come to the door of Ali,
The door of forgiveness,
The door of hope,
The door of fulfillment,
The door of mercy,
The door where troubles of the world are washed away."
Amirul Mumineen,5,"In silent, contemplative moments","In silent, contemplative moments,
I thought to myself,
That I exceeded nothing,
No might, no muscle,
No strength, no space, no purpose, no pride, so pathetic, so puny,
But then I think of you O Mola Ali
My heart throbbing your name,
Love of you pervading my soul,
Each drop of my blood,
Each breath I take,
calling out to you O Mola Ali
Then I will say I have exceeded everything"
Amirul Mumineen,6,O lion of Allah,"O lion of Allah
O brother of Mohammed
O Mola Ali,
Who held aloft the mighty Zulfikar, Defeated the enemies of Islam Slew Slayed Abde-Wadd
Killed Marhab, Antar,
Protected the Rasool --
Why have you sheathed your sword? And he replies,
For the defense of Islam
it was drawn.
For the safety of Islam
it is sheathed."
Amirul Mumineen,7,My dream will become a reality,"Heaven is described for us,
As a place of bliss,
From all trials and tribulations of life,
A place where rivers flow,
The rivers of milk and honey,
The rivers of pure water and pure sherbet, A place where Ali is standing at the pool of Kausar, When that time comes for me,
My dream will become a reality."
Maulatuna Fatema,1,It was a night of rejoicing,"It was a night of rejoicing
The full moon had entered the house of Ali. The heavens lighted up,
The earth was lush and full.
Then tragedy strikesstruck,
The moon is no more in Ali’s house. Kicked by cruel feet,
Slapped by cruel hands,
Fatema is no more.
Ali is alone,
Fatema is no more.
The children are crying,
Fatema is no more.
The earth is dark,
Fatema is no more.
The heavens light up,
Fatema is here."
Husain Imam,1,"It is the evening of Aashura,","It is the evening of Aashura,
Husain and his seventy-two have been slaughtered,
No man remaining save Zainul Abedin.
Then there arise from the hot sands of Karbala, the heroines of Karbala, Of the House of Ali and Fatema,
Of the House of Mohammed and Khadija.
Their very names suggest suffering and endurance beyond compare, Beyond Human capacity,
Beyond the power of the mind to think.
Numbing, paralyzing pain
But they suffered, they witnessed, they endured.
The epitome of womanhood of Karbala who suffered with their men, Who stayed hungry and thirsty with their men,
All alone in the world
Without father and mother
Without brother without husband
They live for one purpose
To serve their Mola Ali Zainul Abedin
To fulfill the wishes of their brother Husain
How could they stand
After seeing the slaughter of Husain
How could they look around and see?
Life in tatters and hope disintegrating.
Then there rise from the hot sands of Karbala two lionesses, Zainab and Umme Kulsum
Their roar brings down Yazid with his throne to the ground, And the name of Husain reverberates throughout the world."
Husain Imam,2,"When you are alone, think of Husain","When you are alone, think of Husain When you are grieving, think of Husain When you are thirsty, think of Husain When you hold a child, think of Husain When you come to a wedding, think of Husain When you are in pain, think of Husain When you feel abandoned, think of Husain You are never abandoned.
Husain is with you."
Husain Imam,3,My brothers and sister in faith,"My brothers and sister in faith,
What is the price of a promise,
It is kept in the heat and sand of the Karbala, It is the sacrifice of the seventy two, It is in the blood of Ali and Ali,
It is in the torture of thirst
It is in the Mashki of Abbas,
It is in the slaughter of Husain,
The price of a promise is everlasting peace."
Husain Imam,4,The pain is in the pulse,"The pain is in the pulse
The strength is in the blood The ache is in the heart,
The loss is in the child
The bereavement is in the brother The courage is in the kin,
The loyalty is in seventy two O Husain
They have not slaughtered you For you have risen,
For in annihilation is an arising."
Husain Imam,5,My brothers and sister in faith,"My brothers and sister in faith,
What is the price of a promise,
It is kept in the heat and sand of the Karbala, It is the sacrifice of the seventy two, It is in the blood of Ali and Ali,
It is in the torture of thirst
It is in the Mashki of Abbas,
It is in the slaughter of Husain,
The price of a promise is everlasting peace."
Husain Imam,6,The pain is in the pulse,"The pain is in the pulse
The strength is in the blood The ache is in the heart,
The loss is in the child
The bereavement is in the brother The courage is in the kin,
The loyalty is in seventy two O Husain
They have not slaughtered you For you have risen,
For in annihilation is an arising."
Husain Imam,7,The story of Husain,"The story of Husain,
The tragedy of Karbala,
Written not with the pen, but with blood
Maula Husain with a thousand wordswounds Life a beingebbing out with each faltering steps, The anguish of the earth, the sky, and the throne above, The anguish of the sea, the air."
Husain Imam,8,A tear is an amazing thing,"A tear is an amazing thing
It brings together the heart, soul, mind, and body Into a small drop of water flowing from the eyes What is the price of that tear?
If it is for joy, it brings happiness,
If it is for grief, it brings sadness.
But if the tears of a Momin are for Husain, It will earn him eight heavens
If they are Fatema’s tears for a momin, They will save him from hellfire
And an entry into Jannat and life everlasting So momin,
Cry your heart out,
Heaven awaits you."
Husain Imam,9,The Quran says,"The Quran says, “From water we have created every living thing,”
But there is no water in Karbala.
The Furat is close by,
But there is no water with Husain,
The seventy-two do not sacrifice their lives for water, Abbas, Ali Akbar, Ali Asghar do not die for water, They gaze upon Husain,
They see the pond of Kausar in the blades of swords, They see Ali standing beside the pond of Kausar, And they ride toward the enemy, smiling and joyous,
They are going home to Heaven and everlasting life with Husain
What more can they hope for, ask for, pray for? That in truth is the life‐giving water."
Husain Imam,10,O Momin,"O Momin.
Cry your eyes out,
It is not enough for Husain,
Beat your chest,
To Till your hands are numb,
It is not enough for Husain
For Husain gave his life for you,
Husain sacrificed his sons for you, He sacrificed his beloved brother for you, He sacrificed his loyal seventy-two for you, O Momin,
If you cry for him, it is not enough If you beat your chest, it is not enough, Even if you die for him, it is not enough But Allah has a paradise waiting for you"
Husain Imam,11,It is a tale of Hurr,"It is a tale of Hurr,
Commander of the army of Yazid.
He has a choice.
Every human has a choice.
He is the master of his every action.
The distance between Paradise and Hellfire is eons apart, yet they are as close as the two beatings of a human heart, and Hurr chooses Husain"
Husain Imam,12,O Husain!,"O Husain!
I prayed to the Almighty, I prayed to you,
Stay in my heart, in the inside of my heart always, That I may always feel your pain, to ease my own That my blood may pulse with the sorrow of your tragedy Because that is the only solace for me.
I know that when my heart reaches out to you,
When my whole being entreats to you, begs you, implores you, You will answer my call.
You will give me solace.
You will give me patience and forbearance
You will give me the strength to carry on
or else how to endure from day to day, every hour to hour, The silence indifference
Is this love.
When the loved one is in pain Silently endures,
And the beloved is silent, watching, knowing not, what to do. Husain is in heaven and next to his Zarih,
The hallowed and sacred place,
where God and his angels
Bear every word uttered to the throne of the almighty. Where sinners comes and their sins are forgiven,
I am a sinner not worthy to stand by that hallowed place, like dust, like a speck of dust, but He hears my voice
He has said so, and if not, what will happen to the inner voice, nobody cares to listen to.
O Husain, it will suffocate and he be always silent"
Husain Imam,13,Husain has come to Karbala,"Husain has come to Karbala,
With his women and children,
And an army of seventy-two,
They are loyal in their love for Husain
They are sure in their salvation with Husain They are true in trust with Husain
They are nurtured by the nobility of Husain They feel grateful by the generosity of Husain They feel pain for the perseverance of Husain They will be the shield for the slaughter of Husain They will fight unto death in the defense of Husain They will give their lives for love for Husain Then they will be forever in Paradise at the feet of Husain."
Husain Imam,14,"Rasulullah, the Prophet of Islam has said, I am a part of Husain","Rasulullah, the Prophet of Islam, has said
I am a part of Husain
and Husain is a part of me.
O Yazid, O Shimr
Did you slay the Prophet in Karbala ?"
Husain Imam,15,A Poet has said,"A poet has said,
You can destroy fields of roses,
But you cannot stop spring from coming
So, oh Yazid,
You destroyed the blooms of the house of Mohammed, You slayed Husain
But the sun of aale Mohammed rose from the west, To spread spring to the world."
Husain Imam,16,The grief of Husain,"The grief of Husain is an amazing thing Mumin cries his heart out in sorrow, Knowing full well,
That he is going to be at the feet of Husain, In ecstasy"
Husain Imam,17,Husain has reached Karbala,"Husain has reached Karbala,
A land of anguish,
Mohammed, Ali, Fatema, Hasan have passed away, They are looking down from their heavenly abode, Ali sees his son killed,
Ali sees Abbas riding to the camp of Husain,
His two hands cut, the water vessel in his mouth,
Fatema has already cleared the place of thorns where Husain is to be killed,
Mohammed sees the little Ali killed in Husain’s arms, Hasan sees his brother lying on the hot sand,
And Shimmar advancing with a blunt knife,
Karbala is written in history with torture and blood, And in our hearts with agony and pain,
But the holy five are reunited again in heaven.
(29th August 2022)"
Husain Imam,18,Hur is at the crossroads,"Hur is at the crossroads,
One of Yazid,
Paved with wealth and worldly victory, The other of Husain,
Paved with death and agony,
He chooses Husain,
For the wealth of heaven and ultimate victory."
Husain Imam,19,Man can endure pain,"Man can endure pain,
Not the pain of Karbala,
Man can endure thirst,
Not the thirst of Karbala,
Man can endure the death of a child,
Not the massacre of a child in his father’s arms in Karbala, Man can endure suffering,
Not the suffering of Karbala
Man can endure loss,
But not the loss of Karbala.
Yet, if you want to get rid of your pain, your thirst, your agony, your suffering, your loss,
Pervade your mind with the tragedy of Karbala, You are cleansed of all your pain, all your thirst, all your suffering, all your loss
You are washed clean."
Husain Imam,20,The horror of Karbala,"It is blisteringly hot,
Husain with his party
Of women and children,
His sons and brothers,
His loyal seventy – two,
Have reached Karbala,
Facing an army of thousands,
And then the 10th of Moharram dawns. But Allah has not created the word to describe, The horror of Karbala.
(19thJanuary 2023)"
Husain Imam,21,"Husain is journeying towards Karbala Husain is journeying towards Karbala, To pay a debt,","A debt he would pay in blood and thirst, A debt he would pay by sacrifice and agony, A debt he promised Mohammed,
A debt of thousands of years to come. The sun is scorching,
The sand is blistering,
Husain is slaughtered,
Abbas, Aliakbar, Aliasgar are slaughtered, The faithful seventy-two are killed. But the land of Karbala is blessed,
Husain and his faithful are here,
Karbala is Husain,
And Husain is Karbala.
(11th August 2022)"
Husain Imam,22,Karbala is a fusion of extremes,"Karbala is a fusion of extremes,
There is Husain,
And there is Shimar,
There are women, children and the loyal seventy – two, And there is an army of thousand,
There is supreme loyalty,
There is extreme revenge,
There is extreme thirst,
There is overflowing Furaat,
There is heaven,
There is hell,
Husain is slaughtered,
Yazid’s army is seemingly victorious,
Yet the name of Husain reverberates to the skies, And Yazid is on fire in the depths of the earth.
(10th August 2022)"
Husain Imam,23,It is late in the day of Aashura,"It is late in the day of Aashura,
The loyal seventy – two have given their lives for truth, The sons, the brother, the men of the family of Husain, Are slain and strewn,
On the hot sands of Karbala,
Husain is alone,
And fighting with the strength of Haider,
But the last debt is yet to be paid,
And Husain sheaths his swords,
For the will of Allah."
Burhanuddin Aqa,1,Aqa Mohammed Burhanuddin,"Aqa Mohammed Burhanuddin
You are the Dai of Husain,
Bringing his message and of patience and pain With barakaat like showers of rain
Aqa Mohammed Burhanuddin
Priceless pearl among Doat Mutlaqeen Beloved Son of Aqa Taher Saifuddin
Aaqa Mohammed Burhanuddin
To you we bow our heads in shukur and humility Which will be for us the gift of closest sublimity Alive like the length of Eternity
Aqa Mohammed Burhanuddin
My Daughter Tahera Bazat
May she always remain in your khidmat And give her all in the service of the Dawat Aqa Mohammed Burhanuddin
May you live alive a life everlasting
with all the blessing of creation never ending And your glory ever and ever and ever increasing Aqa Mohammed Burhanuddin"
Burhanuddin Aqa,2,The sunbeams reach the earth,"The sunbeams reach the earth,
The earth accepts and all is aglow,
The rainfalls, the land drinks thirstily,
And the parched soil is lush and green The trees offer their branches
The birds fly in and its lonely no more.
The light of divine inspiration shines
Mazoon-e-Dawat perceives and accepts, And faiz is aglow and flowing
The showers of wisdom falls
An awareness prevails
He accepts
And the mental dessert blooms,
A saintly spirituality beckons
The children of Dawat, through him, accept Solace prevails and despair is dispelled.
O exalted guide, O Mola Burhanuddin,
Your higher acceptance born of insight rare Provides the gateway wherein entering Momineen experience a personality compelling,
comprehend the light of eternity,
a force ennobling knows,
realized and serve beloved Dai Saifuddin"
Qutbuddin Maula,1,Come to the Qubba of Qutbuddin Maula,"Come to the Qubba of Qutbuddin Maula, Come to the shade of the date trees,
Come to the shade of the Quran,
Come to where your prayers are heard, Come to where your wishes are granted, Come to where your heart is unburdened, Come, come, momineen,
Qutbuddin Maula is ready to give,
if you ask him,
He will give even if you don’t."
Qutbuddin Maula,2,Raudatun Noor,"Raudatun Noor
A rhapsody of marble,
An elevation in the hills,
A light in the darkness,
A hope amidst despair,
A vision fulfilled
An elevation touching the skies, A dream a reality,
Come one, come all.
Let the shade of the Quran cover you, Let your wishes come true.
Let your prayers be answered, For inside lies an incomparable jewel, To answer you."
Qutbuddin Maula,3,How do I miss you?,"How do I miss you?
Let me add the countless ways,
As the setting sun yearns for it to rise again, As the sliver of the moon longs for it to be full again, As the earth yearns for the rain,
As the rain anticipates the rainbow,
As the trees welcome the birds,
As the roses share their fragrance,
So, I miss you
When will we meet again?"
Qutbuddin Maula,4,When you left me,"When you left me,
The rose lost its bloom,
The sun lost its shine,
The moon lost its coolness, The stars lost their sparkle, The mountains lost their majesty. When will we meet again? When we meet again,
Will you hold my hand,
And lead me into heavenly bliss?"
Qutbuddin Maula,5,"Remembering you is a joy Remembering you is a joy, It is ecstasy,","It is a solace,
You are the breath in me, You are the heartbeat in me, You are the red in my blood, You are the air that I breathe, Who says you are gone?
You are with me."
Qutbuddin Maula,6,I searched you everywhere,"I searched you everywhere,
North, south, east, west,
In the mountains, in the valley,
Then I remembered where I had forgotten to look, I looked into my heart,
I found you there."
Maulana TUS,1,The sun rises,"The sun rises.
The darkness disappears.
Naseem the morning breeze blows. All is well with the world.
Momineen beseech their Maula. Maula bestows benedictions. Life renews afresh.
All is well with the world."
